No.,user_id,display_name,team_count
200,"734852351738929152","LukeMcA",5
201,"601803652201517056","LynnJM",9
202,"580182475054034944","MadeMan91",3
203,"578416585492975616","MadMattE",2
204,"475526395674488832","Mahomeboi015",2
205,"972580321071775744","MarcMadness253",1
206,"409724825381117952","markew221",1
207,"995608885291548672","marko1998",1
208,"992951002481360896","MaxGeog",6
209,"472300284031266816","McCall54",3
210,"538829935024676864","MeanMachine922",9
211,"952325606887276544","Merl2pearl",1
212,"438560478088654848","MmarshallLaw",1
213,"1124459351130959872","MoBreezy213",1
214,"472109575504392192","ModestMadfish",1
215,"945478123632562176","Modowaki",11
216,"465954344756310016","Moneyballs",1
217,"739296865954181120","MooreTDs",1
218,"728697751835136000","moorsey6922",1
219,"693981073666826240","mpalatinus",1
220,"215287617132961792","MrsMarcyOD",1
221,"650112089855201280","mtost",2
222,"725572679591063552","Murph86",4
223,"702599198234722304","MyNameIsJudge",1
224,"741772123110060032","NaClT",1
225,"729398381847367680","nate696",24
226,"713405837804118016","Nebra50601",1
227,"723414698690699264","Nelly1",1
228,"855545917279940608","ngore10",1
229,"442282839283593216","nickelcitywreckers36",2
230,"1004974519750090752","notgoudien",8
231,"606180652026519552","NotRonDeSantis",29
232,"486594108610048000","notthebestqualified",8
233,"971845654181994496","nrgreer13",1
234,"1202380630134886400","nzranger",4
235,"826188792154161152","OakTown510",2
236,"1208598183538589696","obsidianfish",1
237,"1101568579872448512","omarebilly8",3
238,"984876909026684928","OrenBeck",1
239,"738270477868503040","orrwho",1
240,"738092028499537920","OuDal88",1
241,"1022040182812123136","pa2k2",1
242,"952060774720114688","pablo1escobar",4
243,"465258178951507968","papachaz87",1
244,"1021269417231060992","pdanger",1
245,"727350882160721920","pgrote31",12
246,"1002670721597788160","PhillyFnatic",1
247,"312801299454255104","philphil3988",3
248,"870872177522790400","Pilgoar",1
249,"474012849551699968","Pitterpatta",1
250,"739424250250842112","PlusUltra1",1
251,"472677951763116032","pmzet",2
252,"858156113932177408","Porg1980",1
253,"391059905995345920","PornStars",2
254,"75015637831139328","ppppp",1
255,"975198077365608448","Pruble",21
256,"466755066192195584","PsyBorg",13
257,"1187437140678172672","RacerXX",1
258,"215288791823282176","RaiderGatorOD",2
259,"867564415585812480","Ralphy58",6
260,"625117128491626496","Randy15",1
261,"312023677409427456","rarity",17
262,"740014224486662144","RedKingdom10",12
263,"78936562976833536","RedmondALLstar",1
264,"212292874924978176","Redwards",1
265,"361534135506067456","Rhoads",2
266,"266066723277377536","RickandMorTDs",3
267,"996584613550116864","RikoSuave10",1
268,"568285763019378688","RioTheGreat",1
269,"736359288544612352","RollingStop",2
270,"719043925339377664","Rookie86",1
271,"1249034134618116096","RottenONE",1
272,"708539658442723328","RoyalWe",14
273,"91982844767125504","RozayRay",3
274,"436321369437761536","rrichardson",3
275,"1181823416909590528","rszim94",1
276,"381281367993950208","RUNTHEHURRYUP",20
277,"975949028213030912","RyanAK",1
278,"341970972179484672","ryand877",6
279,"539683602128859136","sainthead54",1
280,"592064751249440768","SaraM21",44
281,"720026671226355712","schibalski",1
282,"570806683863408640","Scoober317",1
283,"478985383615393792","scorpmanny",1
284,"605649774930128896","scsupaulsen",1
285,"1002392620032770048","seanymac24",1
286,"854196948780036096","Sevdog55",1
287,"850938554463936512","Shaddydaddy105",1
288,"1128522208789282816","ShakeNBlake98",1
289,"994385519431745536","ShawnathanWH",1
290,"334368776826920960","ShortStack11",54
291,"721078923424755712","showtimeLLO",1
292,"437689243716808704","Sigma1234",1
293,"742610662601166848","simptropic",5
294,"831557975482142720","Sirricky09",3
295,"655514443807023104","SirSnazzy",1
296,"1151249441761095680","SkolNoles7721",1
297,"1150819156925874176","skylarmadison",5
298,"69886196385726464","slice",6
299,"1091444900454883328","smackdownmjd",4
300,"694255996255674368","sneakybull",19
301,"607071634121089024","solohaven",2
302,"1095242402387824640","SORRY4CUSSING",52
303,"465726181140852736","SoulSTeeler",10
304,"1149335572595548160","sparlingo",1
305,"867584057121341440","SpiceOne",9
306,"933998931493625856","Steb20",22
307,"633359171764449280","StickyPicky",10
308,"103413710143766528","sty1ee",3
309,"857331440793268224","SuckMyUn1t",1
310,"710574535979667456","superbtourist",2
311,"430487224484642816","sycopathicsyco",3
312,"1230592675787329536","tacklebox79",1
313,"1099049229345071104","tal888",3
314,"973790017720053760","TampaRaiderFan",7
315,"854989983616983040","TavrinCallas",1
316,"863453023031103488","tb76",142
317,"411681924491247616","tdub23",1
318,"440984963672698880","TennesseeNick",8
319,"1259379401431191552","TexasTeaTime",1
320,"695531708623171584","Tgive23",2
321,"860193131520438272","TheBeninators",8
322,"754921998496468992","TheBusDrivers42",1
323,"471718938078605312","TheDealerIsBack",11
324,"466058032665587712","TheGrabbler",2
325,"994286880403329024","ThemisPapav",1
326,"1130023239297781760","TheRealPK",2
327,"393182004650246144","ThingDude",1
